id      频道名
ys4Kcq  央视4K超清
CCTV-1H265  CCTV1
CCTV-2H265  CCTV2
CCTV-3H265  CCTV3
CTV-4H265  CCTV4
CCTV-5H265  CCTV5
CCTV-5plusH265  CCTV5+
CCTV-6H265  CCTV6
CCTV-7H265  CCTV7
CCTV-8H265  CCTV8
CCTV-9H265  CCTV9
CCTV-10H265  CCTV10
CCTV-11-H265  CCTV11
CCTV-12H265  CCTV12
CCTV-xw  CCTV13
CCTV-14H265  CCTV14
CCTV-15-yyH265  CCTV15
CCTV-16  CCTV16
CCTV-17  CCTV17
http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001000/CCTV-14H265/CCTV-14H265.m3u8

gfjs  CCTV兵器科技
dyjc  CCTV第一剧场
hjjc  CCTV怀旧剧场
fyjc  CCTV风云剧场
fyyy  CCTV风云音乐
 http://111.11.123.43:6610/030000001000/G_FYJC/G_FYJC.m3u8?IASHttpSessionId=RR1338120211228103713999999
 http://111.11.123.43:6610/030000001000/G_HUBEI-CQ/G_HUBEI-CQ.m3u8?IASHttpSessionId=RR1338120211228103713999999
http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001000/CDTV-1/CDTV-1.m3u8
fyzq  CCTV风云足球
sjdl  CCTV世界地理
ysjp   CCTV央视文化精品
nxss  CCTV女性时尚
gefwq  CCTV高尔夫网球
ystq  CCTV央视台球
zxs  中样新影-中学生
lgs  中样新影-老故事
fxzl  中样新影-发现之旅

sh  书画频道

zgqx  中国天气

CETV-1H264  CETV1
CETV-4H264  CETV4
zqjy  CETV早期教育

lnwsCHC-HDH265  CHC高清电影
gef.wqCHCdzdyH265  CHC动作电影（失效）
jbtygqCHCjtyyH265  CHC家庭影院

bjwsH265  北京卫视
dfwsH265  东方卫视
tjwsH265  天津卫视
cqwsH265  重庆卫视
hljwsH265  黑龙江卫视
jlwsH265  吉林卫视
lnwsHDH264  辽宁卫视
nmgws  内蒙古卫视
gsws  甘肃卫视
qhwsH264  青海卫视
sxws  陕西卫视
hbws39H265  河北卫视（失效）
sxws42  山西卫视
sdwsH265  山东卫视
ahwsH265  安徽卫视
hnws35  河南卫视
hbwsH265  湖北卫视
hnwsH265  湖南卫视
jxwsH265  江西卫视
jswsH265  江苏卫视
zjwsH265  浙江卫视
dnwsfjwsH265  东南卫视
gdwsH265  广东卫视
szwsH265  深圳卫视
gxws  广西卫视
ynws  云南卫视
gzwsH265  贵州卫视
scwsH265  四川卫视
kbwsH264  康巴卫视
xjws  新疆卫视
btws  兵团卫视
xzwsH264  西藏卫视
hnws  海南卫视

bjjs  北京冬奥纪实
shdy  四海钓鱼
hqqg  环球奇观
cmpdH264  车迷频道
bxjkH264  百姓健康
kkkt  卡酷少儿

jtlc  家庭理*
yxjj  GTV游戏竞技

dfcj  东方财*
qjs-HDH265  全纪实
shssH265  生活时尚
mlyy  魅力足球
jsqcH265  极速汽车
yybb-dmxc-H265  动漫秀场
yxfydsjcHDH265  都市剧场
qcxj 七彩戏剧
jspd  金色频道*
ycxsjH265  新视觉
lqhxjcHDH265  劲爆体育
xfcH264  幸福彩
fztx  法治天地

qmpdH264  汽摩

cpd  茶频道
xfpy  先锋乒羽
fyzqklcdHDH265 快乐垂钓
jyjsHDH265 金鹰纪实
jykt  金鹰卡通

ly  梨园频道
wssj  武术世界
wwbk  文物宝库
kzktcsH264 国学频道

jzH265  靓妆

tywq  天元围棋
sy  摄影频道

jjkt  嘉佳卡通

sdjy  山东教育卫视

SCTV-2-H265  四川文化旅游
SCTV-3-H265  四川经济
SCTV-4H265  四川新闻资讯
SCTV-5-scysH265  四川影视文艺
SCTV-7-  四川妇女儿童
SCTV-ggSCTV-8  四川科教
SCTV-kjSCTV-9-  四川乡村
emdygqH265  四川峨嵋电影

CDTV-1  成都新闻综合
CDTV-2  成都经济资讯
CDTV-3  成都都市生活
CDTV-4  成都影视文艺
CDTV-5  成都公共

cdgxdstgq  成都高新区电视台
dyytH265  大邑新闻综合
lqxw  龙泉新闻综合
djyzh  都江堰综合
pzxwzh  彭州综合
qbjxwzh  青白江综合
jtzhpd  金堂电视台
xdzhpd  新都综合
xjzh  新津电视台
pjxw  蒲江电视台
pxds1  郫都新闻综合
jnyx  金牛电视台
czyt  崇州一套
jyxwzh  简阳新闻综合
slgq  双流综合
wjytH264  温江新闻综合

myytH265  绵阳新闻综合
myetH265  绵阳公共
azgq  安州综合
ztgq  梓潼综合
ytzh  盐亭综合
pwgq  平武综合
bcxwHD  北川一套
stxwHD  三台一套
jyxwHD  江油综合

zgxw  自贡新闻综合
zggg  自贡公共
fszh  富顺综合
rxzh  荣县综合

pzhytH265  攀枝花新闻综合
pzhggpd  攀枝花公共
pgxwzh  攀钢新闻综合
ybtgq  盐边电视台
myxwzh  米易综合
rhxwH264  仁和新闻

lzgg  泸州公共
hjxw  合江新闻综合
xyxw  叙永电视台
nxxw  纳溪一套
lxxwzh  泸县综合
glxwzhgq  古蔺新闻综合

mzxwzh  绵竹综合
zjxwzh  中江新闻综合
sfx  什邡新闻综合
ghxwzh  广汉综合
ljxwzh  罗江综合

gyzhH265  广元综合
gyggH265   广元公共
zhxwzh  昭化综合
jgxwzhH265  剑阁综合
wcxwzhH265  旺苍新闻综合
ctxwzh  朝天新闻综合
qcxwzhH265  青川新闻综合
lzxwzh  利州综合
cxxwgqH265  苍溪综合

snxwzhHDH265  遂宁新闻综合
sngggq  遂宁公共
ajxw  安居综合
dyxwzhH265  大英新闻综合
pxxw  蓬溪新闻综合
csxw  船山综合
shzhH264  射洪综合

njzh  内江综合
njgg  内江公共
dxxwzh  东兴综合
zzzh  资中综合
lcxw  隆昌综合

lsxwzh  乐山新闻综合
lsggpd  乐山公共
swxwzh  沙湾融媒
wtqxwzh  五通桥综合
jkhdst  金口河综合
mcxw  沐川综合
jjxw  夹江新闻综合
emsxw  峨眉山综合
qwxwzh  犍为新闻综合
mbxwzh  马边综合
